id,platform,problem_id,name,url,tags,rating,contest_id,solved_count,point,difficulty,cf_scaled_difficulty
codeforces_2121_H,Codeforces,H,Ice Baby,https://codeforces.com/problemset/problem/2121/H,"['binary search', 'brute force', 'data structures', 'dp', 'implementation', 'sortings']",,2121,980,,,
codeforces_2121_G,Codeforces,G,Gangsta,https://codeforces.com/problemset/problem/2121/G,"['data structures', 'divide and conquer', 'math', 'sortings']",,2121,2536,,,
codeforces_2121_F,Codeforces,F,Yamakasi,https://codeforces.com/problemset/problem/2121/F,"['binary search', 'brute force', 'data structures', 'greedy', 'two pointers']",,2121,4226,,,
codeforces_2121_E,Codeforces,E,Sponsor of Your Problems,https://codeforces.com/problemset/problem/2121/E,"['dp', 'greedy', 'implementation', 'strings']",,2121,8372,,,
codeforces_2121_D,Codeforces,D,1709,https://codeforces.com/problemset/problem/2121/D,"['implementation', 'sortings']",,2121,11710,,,
codeforces_2121_C,Codeforces,C,Those Who Are With Us,https://codeforces.com/problemset/problem/2121/C,"['greedy', 'greedy', 'implementation']",,2121,14203,,,
codeforces_2121_B,Codeforces,B,Above the Clouds,https://codeforces.com/problemset/problem/2121/B,"['constructive algorithms', 'greedy', 'strings']",,2121,24251,,,
codeforces_2121_A,Codeforces,A,Letter Home,https://codeforces.com/problemset/problem/2121/A,"['brute force', 'math']",,2121,28445,,,
codeforces_2120_G,Codeforces,G,Eulerian Line Graph,https://codeforces.com/problemset/problem/2120/G,"['graphs', 'greedy', 'math']",,2120,44,,,
codeforces_2120_F,Codeforces,F,Superb Graphs,https://codeforces.com/problemset/problem/2120/F,"['2-sat', 'graphs']",,2120,150,,,
codeforces_2120_E,Codeforces,E,Lanes of Cars,https://codeforces.com/problemset/problem/2120/E,"['binary search', 'dp', 'ternary search']",,2120,972,,,
codeforces_2120_D,Codeforces,D,Matrix game,https://codeforces.com/problemset/problem/2120/D,"['combinatorics', 'math']",,2120,3457,,,
codeforces_2120_C,Codeforces,C,Divine Tree,https://codeforces.com/problemset/problem/2120/C,"['constructive algorithms', 'greedy', 'math', 'sortings', 'trees']",,2120,7655,,,
codeforces_2120_B,Codeforces,B,Square Pool,https://codeforces.com/problemset/problem/2120/B,['geometry'],,2120,12152,,,
codeforces_2120_A,Codeforces,A,Square of Rectangles,https://codeforces.com/problemset/problem/2120/A,"['geometry', 'math']",,2120,14362,,,
codeforces_2118_F,Codeforces,F,Shifts and Swaps,https://codeforces.com/problemset/problem/2118/F,"['data structures', 'graphs', 'hashing', 'trees']",3100.0,2118,131,,,3100.0
codeforces_2118_E,Codeforces,E,Grid Coloring,https://codeforces.com/problemset/problem/2118/E,"['constructive algorithms', 'geometry', 'greedy', 'math']",2400.0,2118,877,,,2400.0
codeforces_2118_D2,Codeforces,D2,"Red Light, Green Light (Hard version)",https://codeforces.com/problemset/problem/2118/D2,"['binary search', 'brute force', 'data structures', 'dfs and similar', 'dp', 'graphs', 'implementation', 'math', 'number theory']",2200.0,2118,1453,,,2200.0
codeforces_2118_D1,Codeforces,D1,"Red Light, Green Light (Easy version)",https://codeforces.com/problemset/problem/2118/D1,"['brute force', 'dfs and similar', 'dp', 'graphs', 'implementation', 'number theory']",1700.0,2118,4763,,,1700.0
codeforces_2118_C,Codeforces,C,Make It Beautiful,https://codeforces.com/problemset/problem/2118/C,"['bitmasks', 'data structures', 'greedy', 'math']",1300.0,2118,13554,,,1300.0
codeforces_2118_B,Codeforces,B,Make It Permutation,https://codeforces.com/problemset/problem/2118/B,['constructive algorithms'],1200.0,2118,15096,,,1200.0
codeforces_2118_A,Codeforces,A,Equal Subsequences,https://codeforces.com/problemset/problem/2118/A,"['constructive algorithms', 'greedy']",800.0,2118,23591,,,800.0
codeforces_2117_H,Codeforces,H,Incessant Rain,https://codeforces.com/problemset/problem/2117/H,"['data structures', 'divide and conquer', 'sortings']",2500.0,2117,474,,,2500.0
codeforces_2117_G,Codeforces,G,Omg Graph,https://codeforces.com/problemset/problem/2117/G,"['brute force', 'dsu', 'graphs', 'greedy', 'shortest paths', 'sortings']",1900.0,2117,2932,,,1900.0
codeforces_2117_F,Codeforces,F,Wildflower,https://codeforces.com/problemset/problem/2117/F,"['combinatorics', 'dfs and similar', 'trees']",1800.0,2117,3848,,,1800.0
